ResourceName,Category,Resource Contact Person,CoalitionMember,Telephone,Email,Website,Address,Zipcode,Service Description
T.J. DULSKI COMMUNITY CENTER,Food Pantries,,FALSE,(716)893-7222,,,"129 Lewis St, Buffalo, NY 14206 . ",14206,Directions . (716)893-7222 . WED 10:00 AM - 2:00 PM . 
ST. PATRICK'S PANTRY,Food Pantries,,FALSE,(716)768-4717,,,"1119 WILLIAM STREET, BUFFALO, NY 14206 . ",14206,Directions . (716)768-4717 . WED 10AM TO 2:30PM . FRI 9AM TO 2PM . 
POLONIA HALL FOOD PANTRY,Food Pantries,,FALSE,(716)893-7222,,,"385 PADEREWSKI DRIVE, BUFFALO, NY 14212 . ",14212,Directions . (716)893-7222 . TUE 1:00 PM - 5:00 PM;  . SAT 10:00 AM - 2:00 PM (LAST SAT) . 
URBAN DINER (FRIENDS OF NIGHT PEOPLE 2),Food Pantries,,FALSE,(716)884-5375,,,"385 PADEREWSKI DRIVE, BUFFALO, NY 14202 . ",14212,Directions . (716)884-5375 . MON-FRI 3:00 PM - 5:00 PM . 
FAMILY HELP CENTER,Food Pantries,,FALSE,(716)822-0919,,,"60 DINGENS STREET, BUFFALO, NY 14206 . ",14206,"Directions . (716)822-0919 . TUE & THU 9:00 AM - 1:00 PM;  . SUN-MON, WED, FRI EMERGENCIES . "
ST. SIMON'S PANTRY AT THE GENESIS CENTER,Food Pantries,,FALSE,(716)822-1901,,,"2161 SENECA STREET - REAR, BUFFALO, 14210 . ",14210,Directions . (716)822-1901 . THURSDAYS 10 A.M. TO 2 P.M.  . 
RESPONSE TO LOVE KITCHEN,Food Pantries,,FALSE,(716)894-7030,,,"130 KOSCIUSZKO STREET, BUFFALO, NY 14212 . ",14212,(716)894-7030 . Directions . MON-THU 9:00 AM - 12:00 PM . 
ST. CASIMIR CHURCH FOOD PANTRY,Food Pantries,,FALSE,(716)891-8753,,,"1833 CLINTON STREET, BUFFALO, NY 14206 . ",14206,"(716)891-8753 . Directions . SUN 11:30 - 1:00 PM; MON 9:00 AM - 11:30 AM, 6:00 PM - 8:00 PM (ONCE PER MONTH) . "
NEW COVENANT UNITED CH. OF CHRIST,Food Pantries,,FALSE,(716)856-3392,,,"459 CLINTON STREET, BUFFALO, NY 14204 . ",14204,(716)856-3392 . Directions . TUE 9:00 AM - 2:30 PM . 
B.L.E.S. FOOD PANTRY BUFF LUTH EM SER,Food Pantries,,FALSE,(716) 892-7682,,,"900 GENESEE STREET, BUFFALO, NY 14211 . ",14211,(716) 892-7682 . Directions . MON-THU 10:00 AM - 2:00 PM . 
ST. LUKES MISSION OF MERCY,Food Pantries,,FALSE,(716)894-4476,,,"325 WALDEN AVENUE, BUFFALO, NY 14211 . ",14211,"(716)894-4476 . Directions . TUE & FRI 10:30 AM - 12:30 PM;  . SUN-MON, WED, FRI-SAT EMERGENCIES . "
